income,txn_count,bill_payment_ratio,ecommerce_spend,location_stability,mobile_usage_hours,social_trust_score,age,default
131958,138,0.5648451022171516,14451,0.46872284894123284,7.006754457675818,0.8250410502326779,58,0
156867,175,0.7474929558814,5814,0.19568104974158762,6.086865850252511,0.738446453690877,38,0
141932,75,0.4446252400615428,22888,0.09305330309373039,3.150629345654904,0.6230438021440629,26,0
113694,14,0.9449360453653964,7522,0.9439266380988796,7.861895607486574,0.8985131521327632,58,0
129879,38,0.823810521880351,22169,0.7430094088769149,5.334761827866522,0.861279810068169,53,0
120268,140,0.6381550654868308,20382,0.31296697270048235,11.64931687292866,0.22679165844489058,58,0
64886,45,0.062425183682513374,15588,0.29535240620517444,11.61815396369348,0.8786861543814105,57,0
147337,145,0.6523462475831382,15762,0.8952184867225975,10.862461581810752,0.3740398395737058,22,0
178266,163,0.9115796012522189,15577,0.17756823480965112,4.321069656171984,0.43177433580125346,59,0
97498,194,0.3794453868809514,20931,0.5350372896565445,4.415669464248709,0.9723323871285691,48,0
122727,75,0.838132525605361,9970,0.7135042751793014,10.232077968524589,0.7598743285458197,52,0
136324,169,0.313161142862179,39278,0.3963903519656896,8.749619180897593,0.3214859543625255,58,0
185203,195,0.5701032915473028,20045,0.039902342543088554,8.452331637816524,0.6479258896665372,20,0
26023,29,0.6484244183707824,15919,0.22775881371952156,3.3553321330093895,0.5393243362651117,36,0
51090,18,0.6779950375588949,27671,0.9018081374423738,10.00018333865371,0.11660323704558095,36,0
77221,20,0.8825493144643481,10349,0.5231189668395544,6.953046867155319,0.8877523379899834,18,0
74820,14,0.23462226700628208,6058,0.8154412464879698,5.362386890862878,0.8218814836339894,39,0
10769,162,0.2623695852889747,3515,0.5556855427906173,10.38506548929691,0.7777103568869369,36,0
69735,177,0.7040409933107368,3330,0.9436020957123034,4.730517165385368,0.5591533875770127,43,0
74925,54,0.1771938124840381,34442,0.9091340755568451,7.847109742413187,0.22083744028141816,32,0
15311,31,0.4642704049639603,17745,0.4828880420104019,5.5908621840496675,0.8838960293195943,36,0
113355,58,0.02003438407721514,8978,0.3182740254363494,7.112853674052674,0.35296564361898053,42,0
194779,104,0.1409793369901141,16939,0.6016687873456102,0.4865576597817429,0.020118117955144732,56,0
95305,170,0.6788463850288614,15264,0.6748876816694735,5.5333819581166095,0.9817741777461568,48,0
169765,186,0.747461603481754,26615,0.4983550923006316,6.677895689961291,0.8611571034219174,47,0
140608,128,0.11531903323787684,32165,0.8222832210950944,5.912632016995271,0.6226803554379212,50,0
166730,158,0.227709550411197,34880,0.1833285217848828,10.168924470081826,0.012407139427494607,33,1
94478,25,0.0989044465370511,18594,0.33441183062403235,3.7334876975017983,0.22771605717480414,57,1
132537,191,0.4334128439251168,15523,0.686376357366453,10.608918372054486,0.45204988797582457,29,0
159503,19,0.12611607074463327,1701,0.24668386538755727,4.841543638882685,0.6280849232464205,45,0
140523,136,0.43729601716689004,32758,0.4398447446836339,8.334320787127876,0.7081545167426532,47,0
12747,3,0.7320982558011316,35480,0.9637335466282927,1.040672736087573,0.7882726978015201,23,0
133855,195,0.6833886331434175,26983,0.6258759726865741,2.4018490028258723,0.5556609256870155,59,0
75725,86,0.2804604868518452,35084,0.9490572346411257,9.133992133695262,0.6561834278513807,31,0
139981,145,0.6737625492469325,39237,0.7224414032485759,0.147944226463685,0.8112426982153638,22,0
94654,142,0.9277121308995769,34378,0.7246667696671729,11.622332869765192,0.7198413103308045,53,0
176845,9,0.3475243870849155,20736,0.5918571736902056,2.287546812758582,0.9548123322067065,40,0
129346,190,0.3291191536976066,6343,0.1422085948147268,10.815647834941478,0.8746459003980884,49,0
77435,94,0.5714386514820174,15797,0.5197142908862877,6.191340338715429,0.16936127779542387,48,0
66886,149,0.24550181102747182,21875,0.252666200503471,6.774904402765561,0.9474191267170806,31,0
76803,165,0.651578927980252,9328,0.9986725543512802,1.0095814556523006,0.20417599256461194,49,0
41551,139,0.832261770672481,37478,0.26696194010122054,4.382625049888414,0.9912637857014366,44,0
126216,20,0.45931850509863204,2025,0.2306858434614485,1.8746263293660168,0.7013295420000065,18,0
21394,35,0.6795073249283824,105,0.6238831551240446,6.311177932331313,0.6275315527413199,26,0
79092,53,0.6518854238829953,29370,0.5109488132196301,6.608785748063394,0.3243227762647136,33,0
13890,175,0.038665561847589514,20843,0.02135291325451416,8.516003395011724,0.133107524916398,52,1
51606,110,0.1834162951757764,19476,0.12953317899246986,10.5393378950782,0.1261730164493703,27,1
97313,180,0.8935300018181299,698,0.8110429418275126,5.618157795238329,0.8665751925901904,33,0
151699,136,0.9388921473650194,28443,0.4836919551475606,2.8003244409672794,0.43244184619963766,47,0
